"id","name","bat_side","side","avg_batter_y_position","avg_batter_x_position","avg_foot_sep","avg_stance_angle","avg_intercept_y_vs_batter","avg_intercept_y_vs_plate"
682985,"Greene, Riley","L","L",29.98166706907966,24.64876055749753,27.919453681632074,-8.307218806774676,32.082443131744924,2.1007760626652674
677594,"Rodríguez, Julio","R","R",20.158196300981476,29.763050362557873,31.381880942845356,0.8867821008014528,32.2652308927766,12.107034591795115
646240,"Devers, Rafael","L","L",22.47486499681842,25.92262103714761,31.574737546824373,-64.6043430446665,28.546084468256335,6.071219471437912
691718,"Crow-Armstrong, Pete","L","L",30.160060886574644,26.591015123828623,33.9459990255857,-2.4970981757346014,36.08049769541797,5.920436808843323
621566,"Olson, Matt","L","L",31.15857781946125,30.5290949114387,31.27559053329186,-10.44048179589067,32.506714436413155,1.348136616951895
553993,"Suárez, Eugenio","R","R",18.346943287032886,23.148003903042575,23.04608201904283,-23.71252772129855,35.4305932647626,17.083649977729703
592518,"Machado, Manny","R","R",24.702346273970022,31.104532332618046,31.082278773237682,-41.179904402205416,30.806701198702996,6.104354924732964
660271,"Ohtani, Shohei","L","L",29.02007206358257,31.939914177217435,36.736197868356385,-9.491078790233558,27.6227549170627,-1.397317146519868
596115,"Story, Trevor","R","R",25.734128853361362,29.91085511344763,36.08755728224291,-26.065755190868312,35.37170785280198,9.637578999440613
681624,"Pages, Andy","R","R",31.52231433158617,29.7249105182675,17.176099724444413,-17.60331741383747,31.305827097963604,-0.21648723362257066
621020,"Swanson, Dansby","R","R",30.42023750561798,27.59839637979195,24.231515599701318,-12.639788682724932,32.506882453026414,2.08664494740844
656941,"Schwarber, Kyle","L","L",21.07765238543218,25.28897500876596,29.79405024267266,-8.396246747191915,33.52422696759298,12.446574582160785
572233,"Walker, Christian","R","R",28.60530512550338,26.299942204076487,24.976844845024203,-16.3127101090284,31.489405231827856,2.8841001063244764
592206,"Castellanos, Nick","R","R",29.852835585644314,29.002371879742437,27.279867164519302,-19.31346618789141,30.788465472290746,0.9356298866464371
518692,"Freeman, Freddie","L","L",29.13841911704077,30.474333757212683,32.85120890302523,0.49432734993668653,26.884211955607068,-2.2542071614337043
521692,"Perez, Salvador","R","R",29.562000148220378,27.30004209931987,32.71327739671936,-20.29882898150494,30.465347480247637,0.9033473320272554
668227,"Arozarena, Randy","R","R",22.716539718215213,24.25552861478777,18.91745503764585,3.2312147668386246,31.204537568882312,8.487997850667098
641355,"Bellinger, Cody","L","L",32.64710671319661,21.047443138300878,25.23614388557172,-13.29569424584628,30.0795537167101,-2.567552996486508
642715,"Adames, Willy","R","R",29.106121460433663,28.939620354429504,33.102522793663155,-2.608996679345843,31.55291122254365,2.44678976210999
667670,"Rooker, Brent","R","R",31.39384927962275,27.211593115156766,27.78936614293344,-16.755242059178773,32.8117103525074,1.4178610728846246
641487,"Crawford, J.P.","L","L",34.893734301504175,27.68899934866747,30.086217082183158,-29.26741258481821,36.42484836882426,1.5311140673200838
678882,"Rafaela, Ceddanne","R","R",30.54625218249205,26.790097986699447,23.40285668344243,-19.01974205033897,33.504781800628244,2.958529618136206
624413,"Alonso, Pete","R","R",24.397816569211884,27.142813707928426,30.463362070933407,2.6905218395951076,28.263390918913128,3.8655743497012427
668930,"Turang, Brice","L","L",30.652128502176843,26.76362490880679,26.020983696170948,-5.436146597351039,31.940016757694877,1.2878882555180367
671218,"Ramos, Heliot","R","R",24.939869809933683,27.635092135831794,29.718470302526224,-5.1136294588121824,27.579312711462652,2.639442901528982
677951,"Witt Jr., Bobby","R","R",27.446903080069706,25.23259397049531,32.54265785181757,-17.039123637067707,27.786830179063234,0.3399270989935171
661388,"Contreras, William","R","R",28.45178045596542,27.982462464633173,30.220014663028344,5.2064016874291,30.46172044268747,2.00993998672204
679529,"Torkelson, Spencer","R","R",32.9187152375104,27.97332647239631,25.922681434586174,-17.358862431189216,30.722992089463762,-2.1957231480466315
680776,"Duran, Jarren","L","L",28.56084927151187,30.458541979749587,23.999623146862216,-1.7374150959905648,31.733420295090752,3.1725710235788918
592885,"Yelich, Christian","L","L",27.782295722679347,29.92263019873969,32.812572425386584,0.9522041999175844,26.762993580139472,-1.0193021425398774
691406,"Caminero, Junior","R","R",28.27108187393878,28.619380986893578,26.814891367046894,-34.692062727315204,35.974567439580355,7.703485565641564
607208,"Turner, Trea","R","R",28.877150968093478,28.798363779473025,38.30684661943102,0.7661353999713363,29.305189821175162,0.4280388530816697
686469,"Pasquantino, Vinnie","L","L",28.612782220954358,31.155021188499532,39.36688019585184,-21.88116387499906,32.122847441295626,3.5100652203412794
682998,"Carroll, Corbin","L","L",30.66273554932451,29.909876098991,25.805261860468683,-2.734988836642587,36.65365280244829,5.990917253123784
671739,"Harris II, Michael","L","L",31.006390671284485,28.526958167712507,20.55176061229102,-18.00459561187542,30.786742096625954,-0.2196485746585291
547180,"Harper, Bryce","L","L",23.5875534909644,29.41972449583323,32.83788371845081,-16.27645242577023,33.05175994705761,9.464206456093214
607043,"Nimmo, Brandon","L","L",28.26246512340835,31.486811660877176,25.340154265029103,-10.60880298434933,26.883388902610633,-1.3790762207977227
592450,"Judge, Aaron","R","R",26.237617429809358,33.102204502677104,29.943947386989116,-5.841592440597864,30.593040428227656,4.355422998418295
665487,"Tatis Jr., Fernando","R","R",26.231288517380644,28.96136538888215,24.764534327766583,-37.88665278069572,29.994315017364137,3.7630264999835
683002,"Henderson, Gunnar","L","L",26.680367023254167,25.81092670673795,31.062024804870152,-4.025820419161987,33.408173694114396,6.727806670860217
